brand,model,model_year,milage,fuel_type,engine_liters,engine_cylinders,transmission_group,ext_color_group,int_color_group,accident,clean_title
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,98000.0,Gasoline,3.5,6.0,Automatic,White,Beige,At least 1 accident or damage reported,Yes
Volkswagen,Arteon SEL R-Line,2022,18655.0,Gasoline,2.0,6.0,Automatic,White,Black,None reported,Unknown
Chevrolet,Suburban 2500 LS,2006,60000.0,Gasoline,8.1,8.0,Automatic,Brown,Brown,At least 1 accident or damage reported,Yes
Chevrolet,Suburban 1500 LT,2014,169500.0,E85 Flex Fuel,5.3,8.0,Automatic,Purple,Brown,None reported,Yes
Mitsubishi,Eclipse GS,2008,189500.0,Gasoline,2.4,4.0,Manual,Red,Black,None reported,Yes
Toyota,Land Cruiser Base,2016,91000.0,Gasoline,5.7,8.0,Automatic,Black,Brown,None reported,Yes
Genesis,G80 2.5T,2022,7396.0,Gasoline,2.5,4.0,Automatic,Black,Black,None reported,Unknown
Toyota,Tundra SR5 Access Cab,2004,229450.0,Gasoline,4.7,8.0,Automatic,Gray,Gray,None reported,Yes
Maserati,Quattroporte Modena Q4,2023,8603.0,Gasoline,3.0,6.0,Automatic,Other,Beige,None reported,Unknown
Audi,RS 5 4.2,2014,49098.0,Gasoline,4.2,8.0,Other,White,Black,At least 1 accident or damage reported,Yes
Nissan,Rogue S,2022,21212.0,Gasoline,1.5,3.0,CVT,Other,Black,None reported,Unknown
Porsche,Panamera 4S,2010,62743.0,Gasoline,4.8,8.0,Other,Silver,Gray,None reported,Yes
BMW,M440 i xDrive,2021,24300.0,Hybrid,3.0,6.0,Automatic,Gray,Beige,None reported,Yes
Cadillac,Escalade Premium,2010,104000.0,E85 Flex Fuel,6.2,8.0,Automatic,Gray,Other,None reported,Yes
Volvo,S60 T6 Momentum,2020,46250.0,Gasoline,2.0,4.0,Automatic,White,Black,At least 1 accident or damage reported,Yes
Mazda,CX-9 Touring Plus,2023,1930.0,Gasoline,2.5,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes
Chrysler,Pacifica Hybrid Touring L,2022,61494.0,Hybrid,3.6,6.0,CVT,White,Black,None reported,Unknown
Jeep,Wrangler Unlimited Sport,2020,24040.0,Gasoline,2.0,4.0,Automatic,Black,Black,None reported,Yes
Toyota,Highlander Base,2001,231581.0,Gasoline,3.0,6.0,Automatic,Beige,Beige,None reported,Yes
Ford,F-150 Lariat,2019,81000.0,Gasoline,3.5,6.0,Automatic,Gray,Black,None reported,Yes
Ford,Bronco,1974,6217.0,–,3.5,6.0,Other,Gray,Other,None reported,Yes
Land,Rover Discovery Sport S R-Dynamic,2022,23568.0,Gasoline,2.0,6.0,Automatic,Red,Black,None reported,Unknown
Mazda,Mazda6 Touring,2020,78700.0,Gasoline,2.5,4.0,Automatic,White,Black,None reported,Yes
Kia,Optima EX,2015,109580.0,Gasoline,2.4,4.0,Automatic,Red,Black,At least 1 accident or damage reported,Yes
Lexus,RX 350 Base,2009,178000.0,Gasoline,3.5,6.0,Automatic,Gray,Gray,At least 1 accident or damage reported,Yes
Mitsubishi,Outlander Sport 2.4 SE,2016,131193.0,Gasoline,2.4,4.0,CVT,Black,Black,None reported,Yes
Mercedes-Benz,GLS 450 Base 4MATIC,2017,106000.0,Gasoline,3.0,6.0,Automatic,White,Black,None reported,Yes
Audi,A3 2.0T Premium,2019,28211.0,Gasoline,2.0,4.0,Other,Gray,Black,At least 1 accident or damage reported,Yes
Audi,A4 2.0T Premium,2015,91403.0,E85 Flex Fuel,2.0,4.0,Automatic,Silver,Gray,None reported,Unknown
Mercedes-Benz,CLA-Class CLA 250,2016,88600.0,Gasoline,2.0,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes
INFINITI,FX50 Base,2011,84900.0,Gasoline,5.0,8.0,Automatic,Silver,Black,Unknown,Unknown
Kia,K5 EX,2021,11154.0,Gasoline,1.6,4.0,Automatic,White,Black,None reported,Unknown
BMW,X5 eDrive xDrive40e,2018,45090.0,Plug-In Hybrid,2.0,4.0,Automatic,Gray,Black,At least 1 accident or damage reported,Yes
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,33272.0,Gasoline,2.3,4.0,Automatic,Red,Gray,At least 1 accident or damage reported,Yes
Jeep,Wrangler SE,2003,71000.0,Gasoline,2.4,4.0,Manual,Red,Gray,None reported,Yes
Kia,Telluride SX,2020,55400.0,Gasoline,3.8,6.0,Automatic,Green,White,Unknown,Unknown
Land,Rover LR4 Lux,2012,141525.0,Gasoline,5.0,8.0,Automatic,Black,Black,None reported,Yes
Jaguar,XKR Base,2007,50000.0,Gasoline,4.2,8.0,Other,Black,Beige,At least 1 accident or damage reported,Yes
BMW,M4 Base,2020,29140.0,Gasoline,3.0,6.0,Manual,Orange,Orange,None reported,Yes
BMW,M340 i xDrive,2022,9000.0,Hybrid,3.0,6.0,Automatic,White,Red,None reported,Yes
Mercedes-Benz,AMG GLE 53 AMG GLE 53,2021,5595.0,Hybrid,3.0,6.0,Automatic,White,Black,None reported,Unknown
RAM,1500 Laramie,2022,34121.0,Gasoline,5.7,8.0,Automatic,Other,Black,None reported,Unknown
BMW,ALPINA B7 Base,2013,36750.0,Gasoline,4.4,8.0,Automatic,Black,Black,None reported,Yes
Mercedes-Benz,C-Class C280 4MATIC,2007,49626.0,Gasoline,3.0,6.0,Automatic,White,Other,None reported,Yes
Jeep,Compass High Altitude,2017,45000.0,Gasoline,2.4,4.0,Automatic,White,Beige,At least 1 accident or damage reported,Yes
Toyota,Highlander Hybrid XLE,2019,69350.0,Hybrid,3.5,6.0,Automatic,Black,Gray,None reported,Yes
BMW,X5 M Base,2022,8307.0,Gasoline,4.4,8.0,Automatic,Blue,Orange,None reported,Unknown
BMW,M3 Base,2023,4106.0,Gasoline,3.0,6.0,Manual,Green,Orange,None reported,Yes
BMW,M3 Base,1999,184700.0,Gasoline,3.2,6.0,Manual,Blue,Gray,None reported,Yes
Maserati,Quattroporte S Q4 GranLusso,2018,57500.0,Gasoline,3.0,6.0,Automatic,White,Brown,None reported,Yes
Acura,RDX Advance Package,2021,29000.0,Gasoline,2.0,4.0,Automatic,Black,Black,None reported,Yes
Mercedes-Benz,GLA-Class GLA 250 4MATIC,2015,61675.0,Gasoline,2.0,4.0,Other,Gray,Black,At least 1 accident or damage reported,Yes
Mercedes-Benz,Sprinter 3500XD High Roof,2021,33300.0,Diesel,3.0,6.0,Automatic,White,Black,None reported,Yes
Cadillac,XTS Luxury,2014,62950.0,Gasoline,3.6,6.0,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes
Chevrolet,Camaro 2LT,2015,56675.0,Gasoline,3.6,6.0,Other,Silver,Black,None reported,Yes
Porsche,Cayenne S,2013,92000.0,Gasoline,4.8,8.0,Automatic,Green,Gray,None reported,Yes
Dodge,Magnum R/T,2005,96000.0,Gasoline,5.7,8.0,Automatic,Gray,Beige,At least 1 accident or damage reported,Yes
INFINITI,Q70 3.7X,2014,33500.0,Gasoline,3.7,6.0,Automatic,Black,Black,None reported,Yes
Land,Rover Range Rover SV Autobiography Dynamic SWB,2020,16754.0,Gasoline,5.0,8.0,Automatic,White,White,None reported,Yes
Toyota,Camry Hybrid Base,2007,53249.0,Hybrid,2.4,4.0,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes
GMC,Acadia SLT-1,2016,119000.0,Gasoline,3.6,6.0,Automatic,Beige,Brown,None reported,Yes
Lincoln,Corsair Reserve,2021,29336.0,Gasoline,2.0,4.0,Automatic,Black,Beige,None reported,Unknown
RAM,2500 SLT,2017,86000.0,Diesel,6.7,6.0,Automatic,Gray,Gray,At least 1 accident or damage reported,Yes
RAM,3500 Laramie,2014,177000.0,Diesel,6.7,6.0,Automatic,Black,Other,At least 1 accident or damage reported,Yes
Mercedes-Benz,GL-Class GL 450 4MATIC,2013,93500.0,Gasoline,4.6,8.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes
BMW,M5 Base,2018,47700.0,Gasoline,4.4,8.0,Automatic,Red,White,At least 1 accident or damage reported,Yes
Ford,Mustang SVT Cobra,2003,97496.0,Gasoline,4.6,8.0,Manual,Gray,Gray,Unknown,Unknown
Acura,ILX Premium Package,2022,16120.0,Gasoline,2.4,4.0,Automatic,Gray,Black,None reported,Unknown
Buick,Rainier CXL,2005,147589.0,Gasoline,4.2,6.0,Automatic,White,Beige,At least 1 accident or damage reported,Yes
Cadillac,Escalade Luxury,2013,95570.0,E85 Flex Fuel,6.2,8.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes
Mercedes-Benz,S-Class S 560,2018,45791.0,Gasoline,4.0,8.0,Automatic,Gray,Gray,None reported,Yes
INFINITI,QX80 Base,2016,60000.0,Gasoline,5.6,8.0,Automatic,Silver,Beige,At least 1 accident or damage reported,Yes
Buick,Encore Preferred,2019,50000.0,Gasoline,1.4,4.0,Automatic,White,Black,None reported,Yes
Mercedes-Benz,GLS 450 Base 4MATIC,2019,33481.0,Gasoline,3.0,6.0,Automatic,Black,Beige,None reported,Unknown
Jeep,Liberty Limited,2010,107000.0,Gasoline,3.7,6.0,Automatic,Gray,Gray,None reported,Yes
Mercedes-Benz,S-Class S 63 AMG,2011,60000.0,Gasoline,5.5,8.0,Other,White,Black,At least 1 accident or damage reported,Yes
Audi,A8 L 3.0T,2016,55000.0,Gasoline,3.0,6.0,Automatic,White,Brown,None reported,Yes
Mazda,CX-30 2.5 S Select Package,2022,4004.0,Gasoline,2.5,4.0,Automatic,Black,Black,None reported,Yes
Bentley,Continental GT Speed,2009,57800.0,Gasoline,6.0,12.0,Automatic,Blue,Beige,Unknown,Unknown
Bentley,Continental GT V8,2022,10972.0,Gasoline,4.0,8.0,Automatic,Red,Black,None reported,Yes
Bentley,Flying Spur V8,2022,27858.0,Gasoline,4.0,8.0,Automatic,Other,Other,None reported,Yes
Porsche,911 Carrera 4S,2018,31678.0,Gasoline,3.0,6.0,Other,Silver,Other,None reported,Unknown
Volkswagen,Golf R 4-Door,2016,47144.0,Gasoline,2.0,4.0,Manual,Blue,Black,None reported,Yes
Hyundai,Genesis Coupe 3.8 Grand Touring,2011,165454.0,Gasoline,3.8,6.0,Automatic,Gray,Black,At least 1 accident or damage reported,Yes
Ford,F-150 XLT,2018,98000.0,Gasoline,3.5,6.0,Automatic,White,Other,At least 1 accident or damage reported,Yes
Hyundai,Tucson Limited,2020,39913.0,Gasoline,2.4,4.0,Automatic,Black,Beige,None reported,Unknown
Ford,Mustang V6,2013,147191.0,Gasoline,3.7,6.0,Automatic,Blue,Black,At least 1 accident or damage reported,Yes
BMW,435 i,2014,53600.0,Gasoline,3.0,6.0,Automatic,Silver,Black,None reported,Yes
Dodge,Challenger R/T,2010,100100.0,–,3.5,6.0,Other,Purple,Black,None reported,Yes
Mercedes-Benz,AMG G 63 Base,2020,1750.0,Gasoline,4.0,8.0,Automatic,Blue,Black,None reported,Yes
Dodge,Challenger SRT Hellcat,2020,2750.0,Gasoline,6.2,8.0,Automatic,Orange,Black,None reported,Yes
Porsche,Boxster Base,2013,40800.0,Gasoline,2.7,6.0,Automatic,Brown,Beige,None reported,Yes
Porsche,Macan Base,2018,36798.0,Gasoline,2.0,4.0,Automatic,Gray,Black,At least 1 accident or damage reported,Yes
Ford,F-250 XL,2021,77699.0,Diesel,6.7,8.0,Automatic,White,Gray,Unknown,Unknown
Ford,Mustang GT,2010,87500.0,Gasoline,4.6,8.0,Automatic,Red,Black,At least 1 accident or damage reported,Yes
Chevrolet,Suburban LT,2020,93000.0,Gasoline,5.3,8.0,Automatic,Black,Black,None reported,Yes
Mercedes-Benz,C-Class C 300 4MATIC,2018,41515.0,Gasoline,2.0,4.0,Automatic,Black,Black,None reported,Yes
RAM,1500 Classic Warlock,2019,19000.0,E85 Flex Fuel,3.6,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Unknown
Toyota,Sequoia SR5,2023,1539.0,Hybrid,3.4,6.0,Automatic,Green,Other,At least 1 accident or damage reported,Yes
BMW,M5 Base,2018,31090.0,Gasoline,4.4,8.0,Automatic,Green,Black,At least 1 accident or damage reported,Yes
Mazda,Mazda3 FWD w/Premium Package,2022,21701.0,Gasoline,2.5,4.0,Automatic,Red,Black,None reported,Unknown
Nissan,Rogue SL,2016,97726.0,Gasoline,2.5,6.0,Other,Other,Black,At least 1 accident or damage reported,Unknown
Audi,A7 3.0T Prestige,2015,73000.0,Diesel,3.0,6.0,Automatic,White,Gray,None reported,Yes
Genesis,G80 3.8,2020,23600.0,Gasoline,3.8,6.0,Automatic,Blue,Gray,None reported,Yes
Rolls-Royce,Ghost Base,2016,8755.0,Gasoline,6.6,12.0,Automatic,Black,Black,None reported,Yes
BMW,M6 Gran Coupe Base,2019,20500.0,Gasoline,4.4,8.0,Other,Blue,Black,None reported,Yes
Ford,Mustang V6,2013,57912.0,Gasoline,3.7,6.0,Manual,Black,Black,At least 1 accident or damage reported,Yes
BMW,650 i,2009,35000.0,Gasoline,4.8,8.0,Automatic,Black,Black,None reported,Yes
Nissan,Leaf SV PLUS,2023,7089.0,Unknown,3.5,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes
Lincoln,MKC Reserve,2019,35469.0,Gasoline,2.3,4.0,Automatic,Black,Other,Unknown,Unknown
Kia,Telluride EX,2022,14676.0,Gasoline,3.8,6.0,Automatic,Other,Gray,None reported,Unknown
Lincoln,Navigator Reserve,2022,13750.0,Gasoline,3.5,6.0,Automatic,White,Beige,None reported,Yes
Mercedes-Benz,S-Class S 550 4MATIC,2015,13300.0,Gasoline,4.7,8.0,Automatic,Black,Black,None reported,Yes
Chevrolet,Suburban LT,2017,117000.0,Gasoline,6.0,8.0,Automatic,Blue,Beige,None reported,Yes
Audi,A7 55 Premium,2020,27100.0,Hybrid,3.0,6.0,Automatic,White,Black,None reported,Yes
Ford,Mustang EcoBoost Premium,2017,89352.0,Gasoline,2.3,4.0,Automatic,White,Black,At least 1 accident or damage reported,Yes
Chevrolet,Cruze LS,2018,100000.0,Gasoline,1.4,4.0,Automatic,White,Black,At least 1 accident or damage reported,Yes
Land,Rover Range Rover HSE SWB,2020,16000.0,Hybrid,3.0,6.0,Automatic,Silver,Black,None reported,Yes
Land,Rover Defender S,2023,15200.0,Gasoline,2.0,4.0,Automatic,White,Black,None reported,Yes
BMW,650 i,2012,39960.0,Gasoline,4.4,8.0,Manual,White,Brown,None reported,Yes
Ford,Mustang Base,2008,119000.0,Gasoline,4.0,6.0,Automatic,White,Black,At least 1 accident or damage reported,Yes
Kia,K5 GT-Line,2022,10971.0,Gasoline,1.6,4.0,Automatic,Red,Black,None reported,Unknown
Mazda,Mazda3 i Touring,2014,118500.0,Gasoline,2.0,4.0,Manual,Silver,Black,At least 1 accident or damage reported,Yes
Kia,Stinger GT1,2021,8288.0,Gasoline,3.3,6.0,Automatic,Black,Black,None reported,Yes
Chevrolet,Camaro ZL1,2023,2950.0,Gasoline,6.2,8.0,Automatic,Red,Gray,None reported,Yes
Mercedes-Benz,AMG G 63 Base,2017,73000.0,Gasoline,5.5,8.0,Automatic,White,Black,At least 1 accident or damage reported,Yes
Ford,Thunderbird Premium,2005,82000.0,Gasoline,3.9,8.0,Other,Beige,White,None reported,Yes
Audi,e-tron Prestige,2019,7874.0,Unknown,3.5,6.0,Automatic,Gray,White,None reported,Unknown
GMC,Sierra 1500 SLT,2017,49105.0,Gasoline,6.2,8.0,Automatic,White,Black,None reported,Yes
Kia,Telluride LX,2023,5500.0,Gasoline,3.8,6.0,Automatic,Silver,Black,None reported,Yes
Chevrolet,Corvette Base,2005,36700.0,Gasoline,6.0,8.0,Manual,Blue,Black,None reported,Yes
BMW,650 i,2014,40000.0,Gasoline,4.4,8.0,Other,White,Beige,None reported,Yes
Nissan,Rogue SL,2017,78110.0,Gasoline,2.5,4.0,Automatic,Silver,Black,Unknown,Unknown
GMC,Acadia Denali,2015,74864.0,Gasoline,3.6,6.0,Automatic,Gray,Beige,None reported,Yes
Cadillac,Escalade Premium Luxury Platinum,2021,15350.0,Gasoline,6.2,8.0,Automatic,Black,Black,None reported,Yes
Nissan,GT-R Premium,2010,46100.0,Gasoline,3.8,6.0,Automatic,Blue,Black,None reported,Yes
Toyota,Highlander XLE,2018,61454.0,Gasoline,3.5,6.0,Automatic,Silver,Gray,None reported,Yes
BMW,X7 xDrive40i,2020,45241.0,Gasoline,3.0,6.0,Automatic,Blue,Brown,None reported,Yes
INFINITI,QX60 Base,2018,48000.0,Gasoline,3.5,6.0,CVT,Black,Black,None reported,Yes
Lexus,IS 250C Base,2010,68500.0,Gasoline,2.5,6.0,Manual,Black,Beige,None reported,Yes
GMC,Sierra 1500 Denali,2019,43433.0,Gasoline,5.3,8.0,Automatic,Black,Other,None reported,Unknown
Chevrolet,SSR Base,2005,122961.0,Gasoline,6.0,8.0,Automatic,Red,Black,None reported,Yes
Dodge,Challenger R/T,2014,92861.0,Gasoline,5.7,8.0,Automatic,Gray,Red,None reported,Yes
Hyundai,Equus Signature,2016,72000.0,Gasoline,5.0,8.0,Automatic,White,Beige,None reported,Yes
Lamborghini,Aventador SVJ Base,2019,6929.0,Gasoline,6.5,12.0,Automatic,Blue,Black,None reported,Yes
Ford,Mustang GT,2003,83000.0,Gasoline,4.6,8.0,Automatic,Gray,Black,None reported,Yes
Audi,e-tron Premium,2021,18031.0,Unknown,3.5,6.0,Automatic,Blue,Black,None reported,Unknown
Toyota,Sequoia Limited,2023,8200.0,Hybrid,3.4,6.0,Automatic,Brown,Black,None reported,Yes
Land,Rover Range Rover Sport HST MHEV,2020,19000.0,Hybrid,3.0,6.0,Other,Silver,Black,Unknown,Unknown
Jeep,Grand Cherokee L Limited,2022,12875.0,Gasoline,3.6,6.0,Automatic,Black,Black,None reported,Unknown
Maserati,GranTurismo Sport,2015,32000.0,Gasoline,4.7,8.0,Automatic,Beige,Brown,None reported,Yes
BMW,M5 Base,2013,61145.0,Gasoline,4.4,8.0,Automatic,White,Beige,At least 1 accident or damage reported,Yes
Mercedes-Benz,C-Class 4MATIC Sedan,2022,9612.0,Gasoline,3.5,6.0,Automatic,Other,Other,None reported,Unknown
Land,Rover Range Rover Sport First Edition,2023,3534.0,Hybrid,4.4,6.0,Automatic,Red,Black,None reported,Unknown
Ford,F-150 Lariat,2011,152000.0,Gasoline,3.5,6.0,Automatic,Brown,Beige,None reported,Yes
Audi,A4 2.0T Premium,2012,129567.0,Gasoline,2.0,4.0,Automatic,White,Black,None reported,Yes
BMW,540 i xDrive,2019,36000.0,Gasoline,3.0,6.0,Automatic,Gray,Black,At least 1 accident or damage reported,Yes
BMW,X6 xDrive35i,2009,92008.0,Gasoline,3.0,6.0,Automatic,White,Black,None reported,Yes
Ford,Mustang Base,1998,63900.0,Gasoline,3.8,6.0,Automatic,White,Gray,None reported,Yes
Toyota,Sequoia Limited,2012,150900.0,Gasoline,5.7,8.0,Automatic,Black,Gray,None reported,Yes
Dodge,Challenger R/T Scat Pack,2019,43000.0,–,3.5,6.0,Manual,Green,Black,None reported,Yes
Land,Rover Range Rover 3.0L Supercharged,2018,38020.0,Gasoline,5.0,6.0,Automatic,White,Other,None reported,Unknown
Audi,Q8 55 Premium Plus,2021,14750.0,Hybrid,3.0,6.0,Other,Silver,Black,None reported,Yes
Subaru,WRX Base,2015,52500.0,Gasoline,2.0,4.0,Manual,Gray,Black,None reported,Yes
Chevrolet,Suburban LT,2017,207571.0,Gasoline,5.3,8.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes
INFINITI,QX60 Pure,2020,39000.0,Gasoline,3.5,6.0,Automatic,Gray,Gray,None reported,Yes
Porsche,Cayman Base,2011,66000.0,Gasoline,2.9,6.0,Automatic,Black,Brown,Unknown,Unknown
INFINITI,QX60 Base,2017,93500.0,Gasoline,3.5,6.0,Automatic,Black,Black,None reported,Yes
BMW,M4 Base,2018,7200.0,Gasoline,3.0,6.0,Automatic,Black,Black,None reported,Yes
Maserati,MC20 MC20,2022,1220.0,Gasoline,3.5,6.0,Automatic,Other,Other,None reported,Unknown
Land,Rover Defender SE,2023,8421.0,Hybrid,3.0,6.0,Automatic,Black,White,None reported,Yes
BMW,M8 Base,2020,25520.0,Gasoline,4.4,8.0,Automatic,Gray,Black,None reported,Unknown
Tesla,Model Y Performance,2020,30554.0,Unknown,3.5,6.0,Automatic,Blue,Black,None reported,Unknown
Volvo,C40 Recharge Pure Electric Twin Ultimate,2023,17000.0,Unknown,3.5,6.0,Automatic,Gray,Blue,None reported,Yes
Mercedes-Benz,SL-Class SL 550,2011,41314.0,Gasoline,5.5,8.0,Other,Red,White,At least 1 accident or damage reported,Yes
Land,Rover Range Rover P525 HSE SWB,2020,49899.0,Gasoline,5.0,8.0,Other,White,Black,At least 1 accident or damage reported,Yes
Ford,Escape XLT,2012,186268.0,E85 Flex Fuel,3.0,6.0,Automatic,Blue,Black,None reported,Yes
Lexus,ES 350 Base,2016,51335.0,Gasoline,3.5,6.0,Automatic,Silver,Black,At least 1 accident or damage reported,Yes
Porsche,718 Boxster GTS,2019,10400.0,Gasoline,2.5,4.0,Automatic,Gray,Black,None reported,Yes
Mercedes-Benz,G-Class G 550,2020,20622.0,Gasoline,4.0,6.0,Automatic,White,Black,None reported,Unknown
RAM,1500 Big Horn,2022,19376.0,Gasoline,5.7,8.0,Automatic,White,Black,None reported,Yes
Audi,R8 5.2 V10 performance,2020,12245.0,Gasoline,5.2,10.0,Automatic,Black,Black,None reported,Unknown
Mitsubishi,Lancer Evolution IX,2006,77000.0,Gasoline,2.0,4.0,Manual,Silver,Black,None reported,Yes
Acura,TL Technology,2013,40000.0,Gasoline,3.5,6.0,Automatic,Blue,Gray,None reported,Yes
Cadillac,CTS Luxury,2012,113000.0,Gasoline,3.0,6.0,Automatic,White,Beige,None reported,Yes
Chevrolet,Camaro 1SS,2022,7600.0,Gasoline,6.2,8.0,Manual,Gray,Black,At least 1 accident or damage reported,Yes
Toyota,Camry Hybrid LE,2022,20400.0,Hybrid,2.5,4.0,CVT,White,Gray,None reported,Yes
Ford,Transit-350 XLT,2019,115000.0,Gasoline,3.5,6.0,Automatic,White,Gray,None reported,Yes
Lexus,RX 450h Base,2012,239000.0,Hybrid,3.5,6.0,Automatic,Black,Black,None reported,Yes
Jaguar,F-TYPE V6 S,2014,62194.0,Gasoline,3.0,6.0,Automatic,Black,Black,None reported,Unknown
Jeep,Wrangler Sahara,2020,22138.0,Gasoline,3.6,6.0,Automatic,Black,Black,None reported,Unknown
Porsche,718 Boxster S,2017,48900.0,Gasoline,2.5,4.0,Other,Blue,Black,None reported,Yes
Audi,R8 5.2,2014,21800.0,Gasoline,5.2,10.0,Other,White,Black,None reported,Yes
Lincoln,MKZ Base,2016,68200.0,Gasoline,3.7,6.0,Automatic,Silver,Black,At least 1 accident or damage reported,Yes
Chevrolet,S-10 LS Crew Cab,2001,139000.0,Gasoline,4.3,6.0,Automatic,Red,Gray,None reported,Yes
Mercedes-Benz,G-Class G 550 4MATIC,2021,76100.0,Gasoline,4.0,8.0,Automatic,Black,Black,None reported,Yes
Lexus,RX 350 RX 350 F SPORT Handling,2022,14330.0,Gasoline,3.5,6.0,Automatic,Black,Red,None reported,Unknown
BMW,750 i xDrive,2019,41906.0,Gasoline,4.4,8.0,Automatic,Blue,White,At least 1 accident or damage reported,Yes
Chevrolet,Camaro 2SS,2016,164000.0,Gasoline,6.2,8.0,Automatic,Black,Red,None reported,Yes
Ford,Fusion Hybrid SE,2013,161933.0,Hybrid,2.0,4.0,CVT,Blue,Black,None reported,Yes
Hyundai,Santa Cruz 2.5T Limited,2022,22829.0,Gasoline,2.5,4.0,Automatic,Gray,Black,None reported,Unknown
Lexus,RX 350 F Sport,2023,5483.0,Gasoline,2.4,4.0,Automatic,White,Black,None reported,Unknown
Land,Rover Range Rover Evoque S,2020,46891.0,Gasoline,2.0,4.0,Automatic,Gray,Black,At least 1 accident or damage reported,Yes
Chevrolet,Suburban LT,2019,72000.0,Gasoline,5.3,8.0,Automatic,Blue,Beige,At least 1 accident or damage reported,Yes
Porsche,718 Spyder Base,2020,3400.0,Gasoline,4.0,6.0,Manual,White,Black,None reported,Yes
Chevrolet,Camaro 1LT,2021,18000.0,Gasoline,3.6,6.0,Automatic,White,Black,At least 1 accident or damage reported,Yes
Jeep,Gladiator Freedom,2021,30630.0,Gasoline,3.6,6.0,Automatic,White,Black,None reported,Unknown
Toyota,Tacoma Double Cab,2007,24985.0,Gasoline,4.0,6.0,Automatic,Silver,Silver,Unknown,Unknown
GMC,Yukon Denali Ultimate,2023,9978.0,Gasoline,6.2,8.0,Automatic,White,Beige,None reported,Yes
Ford,Shelby GT350R Base,2018,18500.0,Gasoline,5.2,8.0,Manual,Blue,Black,At least 1 accident or damage reported,Yes
Cadillac,Escalade Premium Luxury Platinum,2021,72843.0,Gasoline,6.2,8.0,Automatic,Beige,Other,None reported,Yes
Buick,LaCrosse Base,2017,67500.0,Gasoline,3.6,6.0,Automatic,Black,Beige,None reported,Yes
Tesla,Model X Long Range Plus,2020,43534.0,Unknown,3.5,6.0,Automatic,Black,Black,None reported,Yes
Mercedes-Benz,E-Class E 300 4MATIC,2017,36900.0,Gasoline,2.0,4.0,Automatic,Gray,Beige,None reported,Yes
Chevrolet,Tahoe LT,2017,61720.0,E85 Flex Fuel,5.3,6.0,Automatic,Silver,Black,At least 1 accident or damage reported,Unknown
Kia,Telluride EX,2022,35938.0,Gasoline,3.8,6.0,Automatic,White,Black,None reported,Unknown
Toyota,Tundra Hybrid Limited,2023,10748.0,Hybrid,3.4,6.0,Automatic,Black,Black,None reported,Unknown
Audi,S8 4.0T quattro,2023,4457.0,Gasoline,4.0,8.0,Automatic,Black,Black,None reported,Unknown
Nissan,Armada Platinum,2018,108206.0,Gasoline,5.6,6.0,Automatic,White,Black,At least 1 accident or damage reported,Unknown
Land,Rover Discovery HSE,2020,32705.0,Diesel,3.0,6.0,Automatic,Blue,Black,None reported,Unknown
Kia,Telluride S,2020,74026.0,Gasoline,3.8,6.0,Automatic,Red,Black,None reported,Unknown
Lexus,GS 350 F Sport,2020,24651.0,Gasoline,3.5,6.0,Automatic,White,Black,None reported,Unknown
BMW,X6 xDrive40i,2022,13000.0,Hybrid,3.0,6.0,Other,Gray,Orange,None reported,Yes
Land,Rover Range Rover P400 SE SWB,2023,11700.0,Hybrid,3.0,6.0,Other,Gray,White,None reported,Yes
Chevrolet,Silverado 3500 High Country,2015,77500.0,Diesel,6.6,8.0,Automatic,Black,Brown,None reported,Yes
Maserati,Quattroporte Sport GT,2007,82000.0,Gasoline,4.2,8.0,Other,Black,Black,At least 1 accident or damage reported,Yes
Dodge,Viper GTC,2017,1389.0,Gasoline,8.4,10.0,Manual,Black,Black,None reported,Yes
Ford,Expedition Limited,2021,29830.0,Gasoline,3.5,6.0,Automatic,Other,Black,None reported,Unknown
Mazda,Mazda6 i Grand Touring,2016,83100.0,–,3.5,6.0,Automatic,White,White,None reported,Yes
Kia,Optima LX,2019,62660.0,Gasoline,2.4,4.0,Automatic,White,Black,None reported,Yes
Land,Rover Range Rover Sport SVR,2018,56006.0,Gasoline,5.0,8.0,Other,Silver,White,None reported,Yes
Lexus,RX 450h F SPORT Handling,2021,31365.0,Hybrid,3.5,6.0,Other,Beige,Red,None reported,Unknown
Lincoln,Town Car Base,2004,27600.0,Gasoline,4.6,8.0,Automatic,Black,White,None reported,Yes
Honda,Civic Si,2012,47245.0,Gasoline,2.4,4.0,Manual,White,Black,None reported,Yes
Lexus,RX 450h Base,2017,73948.0,Hybrid,3.5,6.0,Automatic,White,Beige,None reported,Yes
RAM,1500 Classic Warlock,2019,36757.0,E85 Flex Fuel,3.6,6.0,Automatic,Black,Black,None reported,Yes
